algo,degree,processed,ground_truth,disconnected,not_a_dag,empty_dag
DirectLiNGAM,2,70,35,0,0,2
DirectLiNGAM,3,280,132,68,0,30
DirectLiNGAM,4,2660,1181,751,0,281
DirectLiNGAM,5,50960,22134,18073,0,2627
DirectLiNGAM,6,210000,90704,81349,0,8395
DirectLiNGAM,7,210000,90317,85968,0,5483
DirectLiNGAM,8,210000,90124,88565,0,3986
DirectLiNGAM,9,210000,90065,90075,0,2893
DirectLiNGAM,10,210000,90023,91122,0,2003
GES,2,70,0,0,70,0
GES,3,280,66,10,199,0
GES,4,2660,121,304,1873,18
GES,5,50960,977,6056,37854,186
GES,6,210000,3526,32182,152616,794
GES,7,210000,1476,31564,154448,1361
GES,8,210000,594,32030,154713,1948
GES,9,210000,273,32879,154423,2237
GES,10,210000,20,31859,155220,2752
GOLEM,2,70,0,0,0,70
GOLEM,3,280,0,0,0,280
GOLEM,4,2660,12,4,0,2596
GOLEM,5,50960,226,11017,0,38659
GOLEM,6,210000,1936,68907,0,71503
GOLEM,7,210000,2133,53111,0,45212
GOLEM,8,210000,1688,57608,0,26955
GOLEM,9,210000,1668,64447,0,13705
GOLEM,10,210000,1199,63129,0,7628
ICALiNGAM,2,70,70,0,0,0
ICALiNGAM,3,280,191,32,0,24
ICALiNGAM,4,2660,1509,608,0,113
ICALiNGAM,5,50960,26854,14457,0,878
ICALiNGAM,6,210000,108504,70480,0,2542
ICALiNGAM,7,210000,104724,73135,0,1682
ICALiNGAM,8,210000,102795,75811,0,1109
ICALiNGAM,9,210000,100924,77323,0,769
ICALiNGAM,10,210000,98571,78846,0,502
Notears,2,70,68,0,0,2
Notears,3,280,199,34,0,39
Notears,4,2660,1554,642,0,156
Notears,5,50960,25195,16219,0,1437
Notears,6,210000,103051,77608,0,4375
Notears,7,210000,87339,81069,0,2967
Notears,8,210000,75228,84550,0,2073
Notears,9,210000,65518,86844,2,1563
Notears,10,210000,53856,88037,6,965
PC,2,70,0,0,70,0
PC,3,280,66,10,202,0
PC,4,2660,134,292,1881,12
PC,5,50960,1500,5988,34974,69
PC,6,210000,3960,31488,142783,74
PC,7,210000,1444,31133,140200,30
PC,8,210000,556,31339,137387,4
PC,9,210000,282,32157,132867,0
PC,10,210000,120,31610,128769,0
total,0,6623820,1454842,1930790,1530557,262989
