lib,item_area,model,wape
skl,ANIMAL FEED~ARGENTINA,linear-1,0.5577489241353095
skl,ANIMAL FEED~ARGENTINA,linear-3,0.9387851108258375
skl,ANIMAL FEED~ARGENTINA,linear-6,0.853776092442299
skl,ANIMAL FEED~ARGENTINA,linear-12,0.5682553102583215
skl,ANIMAL FEED~ARGENTINA,linear-12-flatten,0.5682310323985563
skl,ANIMAL FEED~ARGENTINA,knn-1,0.4324204426934765
skl,ANIMAL FEED~ARGENTINA,knn-3,0.4690773725320214
skl,ANIMAL FEED~ARGENTINA,knn-6,0.5000757658007693
skl,ANIMAL FEED~ARGENTINA,knn-12,0.49844096925241516
skl,ANIMAL FEED~ARGENTINA,knn-12-flatten,0.49844096925241516
skl,ANIMAL FEED~AUSTRALIA,linear-1,0.9135952524678208
skl,ANIMAL FEED~AUSTRALIA,linear-3,0.9165072008763808
skl,ANIMAL FEED~AUSTRALIA,linear-6,0.8892400300505745
skl,ANIMAL FEED~AUSTRALIA,linear-12,0.8796502895140177
skl,ANIMAL FEED~AUSTRALIA,linear-12-flatten,0.8803213957342844
skl,ANIMAL FEED~AUSTRALIA,knn-1,0.7140225715054304
skl,ANIMAL FEED~AUSTRALIA,knn-3,0.6846526532222563
skl,ANIMAL FEED~AUSTRALIA,knn-6,0.7517114779478961
skl,ANIMAL FEED~AUSTRALIA,knn-12,0.7271474639221738
skl,ANIMAL FEED~AUSTRALIA,knn-12-flatten,0.7271474639221738
skl,ANIMAL FEED~BELGIUM,linear-1,0.8867315282954714
skl,ANIMAL FEED~BELGIUM,linear-3,0.8585297449351531
skl,ANIMAL FEED~BELGIUM,linear-6,0.8587883214925084
skl,ANIMAL FEED~BELGIUM,linear-12,0.7382563883528906
skl,ANIMAL FEED~BELGIUM,linear-12-flatten,0.7359526836446465
skl,ANIMAL FEED~BELGIUM,knn-1,0.6556848188369112
skl,ANIMAL FEED~BELGIUM,knn-3,0.6933947005362345
skl,ANIMAL FEED~BELGIUM,knn-6,0.7734213044373552
skl,ANIMAL FEED~BELGIUM,knn-12,0.6804337735470242
skl,ANIMAL FEED~BELGIUM,knn-12-flatten,0.6804337735470242
skl,ANIMAL FEED~CANADA,linear-1,4.877239821064849
skl,ANIMAL FEED~CANADA,linear-3,7.2763925300611305
skl,ANIMAL FEED~CANADA,linear-6,4.537478152430854
skl,ANIMAL FEED~CANADA,linear-12,3.5090953741729587
skl,ANIMAL FEED~CANADA,linear-12-flatten,3.4511030629370887
skl,ANIMAL FEED~CANADA,knn-1,2.4155382184445933
skl,ANIMAL FEED~CANADA,knn-3,2.3135032934745583
skl,ANIMAL FEED~CANADA,knn-6,2.156209265701069
skl,ANIMAL FEED~CANADA,knn-12,1.6517236638477404
skl,ANIMAL FEED~CANADA,knn-12-flatten,1.6517236638477404
skl,ANIMAL FEED~EGYPT,linear-1,0.2914484831940135
skl,ANIMAL FEED~EGYPT,linear-3,0.2976402250452849
skl,ANIMAL FEED~EGYPT,linear-6,0.2854002951437591
skl,ANIMAL FEED~EGYPT,linear-12,0.4192957519965141
skl,ANIMAL FEED~EGYPT,linear-12-flatten,0.4191666824636678
skl,ANIMAL FEED~EGYPT,knn-1,0.22653444272822015
skl,ANIMAL FEED~EGYPT,knn-3,0.22617300280912184
skl,ANIMAL FEED~EGYPT,knn-6,0.21816738096153843
skl,ANIMAL FEED~EGYPT,knn-12,0.21987937910506097
skl,ANIMAL FEED~EGYPT,knn-12-flatten,0.21987937910506097
skl,ANIMAL FEED~FRANCE,linear-1,1.3232654714922363
skl,ANIMAL FEED~FRANCE,linear-3,1.0646200518235878
skl,ANIMAL FEED~FRANCE,linear-6,1.0418600285037471
skl,ANIMAL FEED~FRANCE,linear-12,0.9392346778187696
skl,ANIMAL FEED~FRANCE,linear-12-flatten,0.941108469466417
skl,ANIMAL FEED~FRANCE,knn-1,1.032906277045845
skl,ANIMAL FEED~FRANCE,knn-3,1.0135690379827755
skl,ANIMAL FEED~FRANCE,knn-6,1.1277473693962459
skl,ANIMAL FEED~FRANCE,knn-12,1.2214952561020558
skl,ANIMAL FEED~FRANCE,knn-12-flatten,1.2214952561020558
skl,ANIMAL FEED~GERMANY,linear-1,1.850643460757579
skl,ANIMAL FEED~GERMANY,linear-3,1.7494999367354795
skl,ANIMAL FEED~GERMANY,linear-6,2.0062174810900415
skl,ANIMAL FEED~GERMANY,linear-12,1.6627021788212475
skl,ANIMAL FEED~GERMANY,linear-12-flatten,1.6642531672827505
skl,ANIMAL FEED~GERMANY,knn-1,1.6176578806703352
skl,ANIMAL FEED~GERMANY,knn-3,1.5695228285951206
skl,ANIMAL FEED~GERMANY,knn-6,1.6237978675813567
skl,ANIMAL FEED~GERMANY,knn-12,1.496289071223712
skl,ANIMAL FEED~GERMANY,knn-12-flatten,1.496289071223712
skl,ANIMAL FEED~INDIA,linear-1,1.9106499502138552
skl,ANIMAL FEED~INDIA,linear-3,1.8725625084795496
skl,ANIMAL FEED~INDIA,linear-6,1.38714327247643
skl,ANIMAL FEED~INDIA,linear-12,1.2562273984138326
skl,ANIMAL FEED~INDIA,linear-12-flatten,1.257621659277892
skl,ANIMAL FEED~INDIA,knn-1,0.8066629131776805
skl,ANIMAL FEED~INDIA,knn-3,0.8434147393381458
skl,ANIMAL FEED~INDIA,knn-6,0.834834620882719
skl,ANIMAL FEED~INDIA,knn-12,0.856785531455419
skl,ANIMAL FEED~INDIA,knn-12-flatten,0.856785531455419
skl,ANIMAL FEED~IRELAND,linear-1,0.5777981100837032
skl,ANIMAL FEED~IRELAND,linear-3,0.47312222320195757
skl,ANIMAL FEED~IRELAND,linear-6,0.4828926098593157
skl,ANIMAL FEED~IRELAND,linear-12,0.5327184186313557
skl,ANIMAL FEED~IRELAND,linear-12-flatten,0.5347389243687103
skl,ANIMAL FEED~IRELAND,knn-1,0.36527950518794894
skl,ANIMAL FEED~IRELAND,knn-3,0.3752722543047488
skl,ANIMAL FEED~IRELAND,knn-6,0.4006468238938312
skl,ANIMAL FEED~IRELAND,knn-12,0.44164725530808063
skl,ANIMAL FEED~IRELAND,knn-12-flatten,0.44164725530808063
skl,ANIMAL FEED~ITALY,linear-1,0.6323587059150563
skl,ANIMAL FEED~ITALY,linear-3,0.5786180048552572
skl,ANIMAL FEED~ITALY,linear-6,0.7085255271134723
skl,ANIMAL FEED~ITALY,linear-12,0.8380722964438204
skl,ANIMAL FEED~ITALY,linear-12-flatten,0.8380736551643948
skl,ANIMAL FEED~ITALY,knn-1,0.46858028993885603
skl,ANIMAL FEED~ITALY,knn-3,0.4634045306092892
skl,ANIMAL FEED~ITALY,knn-6,0.46607631929763005
skl,ANIMAL FEED~ITALY,knn-12,0.39170755912955135
skl,ANIMAL FEED~ITALY,knn-12-flatten,0.39170755912955135
skl,ANIMAL FEED~MALAYSIA,linear-1,0.8737484751724442
skl,ANIMAL FEED~MALAYSIA,linear-3,0.8736692982985251
skl,ANIMAL FEED~MALAYSIA,linear-6,0.7717465963965923
skl,ANIMAL FEED~MALAYSIA,linear-12,0.8988681775582622
skl,ANIMAL FEED~MALAYSIA,linear-12-flatten,0.9001296184224021
skl,ANIMAL FEED~MALAYSIA,knn-1,0.5856714531105326
skl,ANIMAL FEED~MALAYSIA,knn-3,0.5743335374265672
skl,ANIMAL FEED~MALAYSIA,knn-6,0.5423070889956294
skl,ANIMAL FEED~MALAYSIA,knn-12,0.6101456267368418
skl,ANIMAL FEED~MALAYSIA,knn-12-flatten,0.6101456267368418
skl,ANIMAL FEED~NETHERLANDS,linear-1,0.4708200182147335
skl,ANIMAL FEED~NETHERLANDS,linear-3,0.5072964744744771
skl,ANIMAL FEED~NETHERLANDS,linear-6,0.5018456366477926
skl,ANIMAL FEED~NETHERLANDS,linear-12,0.5876455836871968
skl,ANIMAL FEED~NETHERLANDS,linear-12-flatten,0.5872684798960284
skl,ANIMAL FEED~NETHERLANDS,knn-1,0.627953467262425
skl,ANIMAL FEED~NETHERLANDS,knn-3,0.6605822053489292
skl,ANIMAL FEED~NETHERLANDS,knn-6,0.6628154695762264
skl,ANIMAL FEED~NETHERLANDS,knn-12,0.6937564413748719
skl,ANIMAL FEED~NETHERLANDS,knn-12-flatten,0.6937564413748719
skl,ANIMAL FEED~OMAN,linear-1,0.09287605494457586
skl,ANIMAL FEED~OMAN,linear-3,0.08222607089287819
skl,ANIMAL FEED~OMAN,linear-6,0.2516522423413882
skl,ANIMAL FEED~OMAN,linear-12,0.6606518370462516
skl,ANIMAL FEED~OMAN,linear-12-flatten,0.6587387761385274
skl,ANIMAL FEED~OMAN,knn-1,0.7017659517117523
skl,ANIMAL FEED~OMAN,knn-3,0.7201007044787139
skl,ANIMAL FEED~OMAN,knn-6,0.7484139239560053
skl,ANIMAL FEED~OMAN,knn-12,0.8050122104754307
skl,ANIMAL FEED~OMAN,knn-12-flatten,0.8050122104754307
skl,ANIMAL FEED~PAKISTAN,linear-1,0.22215347359100912
skl,ANIMAL FEED~PAKISTAN,linear-3,0.24600353475918463
skl,ANIMAL FEED~PAKISTAN,linear-6,0.326968873796125
skl,ANIMAL FEED~PAKISTAN,linear-12,0.31792567628268936
skl,ANIMAL FEED~PAKISTAN,linear-12-flatten,0.3181990195047534
skl,ANIMAL FEED~PAKISTAN,knn-1,0.3182428363665869
skl,ANIMAL FEED~PAKISTAN,knn-3,0.3229666969651011
skl,ANIMAL FEED~PAKISTAN,knn-6,0.260376606805764
skl,ANIMAL FEED~PAKISTAN,knn-12,0.30034246178082674
skl,ANIMAL FEED~PAKISTAN,knn-12-flatten,0.30034246178082674
skl,ANIMAL FEED~SOUTH AFRICA,linear-1,0.6900569130489577
skl,ANIMAL FEED~SOUTH AFRICA,linear-3,0.6840432117650421
skl,ANIMAL FEED~SOUTH AFRICA,linear-6,0.5876951536186221
skl,ANIMAL FEED~SOUTH AFRICA,linear-12,0.48662693212844665
skl,ANIMAL FEED~SOUTH AFRICA,linear-12-flatten,0.48989539562959744
skl,ANIMAL FEED~SOUTH AFRICA,knn-1,0.45741949028084494
skl,ANIMAL FEED~SOUTH AFRICA,knn-3,0.4413560564174154
skl,ANIMAL FEED~SOUTH AFRICA,knn-6,0.48119432669015677
skl,ANIMAL FEED~SOUTH AFRICA,knn-12,0.4791266529363883
skl,ANIMAL FEED~SOUTH AFRICA,knn-12-flatten,0.4791266529363883
skl,ANIMAL FEED~SPAIN,linear-1,0.5527563537352967
skl,ANIMAL FEED~SPAIN,linear-3,0.5399189671256504
skl,ANIMAL FEED~SPAIN,linear-6,0.5131428615391066
skl,ANIMAL FEED~SPAIN,linear-12,0.5528332231887002
skl,ANIMAL FEED~SPAIN,linear-12-flatten,0.5525843878152626
skl,ANIMAL FEED~SPAIN,knn-1,0.4736035697853214
skl,ANIMAL FEED~SPAIN,knn-3,0.46435635417957455
skl,ANIMAL FEED~SPAIN,knn-6,0.4430467932293446
skl,ANIMAL FEED~SPAIN,knn-12,0.43979958191135776
