lib,item_area,model,wape
skt,ANIMAL FEED~ARGENTINA,garch-1-1,1.1853758233384697
skt,ANIMAL FEED~ARGENTINA,garch-3-1,1.188442889028173
skt,ANIMAL FEED~ARGENTINA,garch-6-1,1.1884471898159792
skt,ANIMAL FEED~ARGENTINA,garch-12-1,1.289582552950825
skt,ANIMAL FEED~ARGENTINA,garch-1-2,1.191868130170075
skt,ANIMAL FEED~ARGENTINA,garch-6-2,1.1884524576021942
skt,ANIMAL FEED~ARGENTINA,garch-3-2,1.1884448129124823
skt,ANIMAL FEED~ARGENTINA,garch-12-2,1.2895592934366766
skt,ANIMAL FEED~AUSTRALIA,garch-1-1,1.2675717235135797
skt,ANIMAL FEED~AUSTRALIA,garch-3-1,1.2164268694458
skt,ANIMAL FEED~AUSTRALIA,garch-6-1,1.2164642956007823
skt,ANIMAL FEED~AUSTRALIA,garch-12-1,1.2293303226941508
skt,ANIMAL FEED~AUSTRALIA,garch-1-2,1.2680472232103257
skt,ANIMAL FEED~AUSTRALIA,garch-6-2,1.2164238366111115
skt,ANIMAL FEED~AUSTRALIA,garch-3-2,1.2164550793426856
skt,ANIMAL FEED~AUSTRALIA,garch-12-2,1.2293316441957258
skt,ANIMAL FEED~BELGIUM,garch-1-1,1.6857591898010165
skt,ANIMAL FEED~BELGIUM,garch-3-1,1.637495981976382
skt,ANIMAL FEED~BELGIUM,garch-6-1,1.6044691817422791
skt,ANIMAL FEED~BELGIUM,garch-12-1,1.5792834255781152
skt,ANIMAL FEED~BELGIUM,garch-1-2,1.6908513651569181
skt,ANIMAL FEED~BELGIUM,garch-6-2,1.6374660265865209
skt,ANIMAL FEED~BELGIUM,garch-3-2,1.5462354553989333
skt,ANIMAL FEED~BELGIUM,garch-12-2,1.5792961328835107
skt,ANIMAL FEED~CANADA,garch-1-1,3.3216435904419934
skt,ANIMAL FEED~CANADA,garch-3-1,3.242412813258217
skt,ANIMAL FEED~CANADA,garch-6-1,3.2678243806854566
skt,ANIMAL FEED~CANADA,garch-12-1,3.6379525040956078
skt,ANIMAL FEED~CANADA,garch-1-2,3.2962126784633297
skt,ANIMAL FEED~CANADA,garch-6-2,3.217199356515014
skt,ANIMAL FEED~CANADA,garch-3-2,3.267632929269078
skt,ANIMAL FEED~CANADA,garch-12-2,3.638011304249484
skt,ANIMAL FEED~EGYPT,garch-1-1,1.1180662018897414
skt,ANIMAL FEED~EGYPT,garch-3-1,1.1163439192601345
skt,ANIMAL FEED~EGYPT,garch-6-1,1.1185981123159012
skt,ANIMAL FEED~EGYPT,garch-12-1,1.1938583911013216
skt,ANIMAL FEED~EGYPT,garch-1-2,1.11722759485972
skt,ANIMAL FEED~EGYPT,garch-6-2,1.1163319039279842
skt,ANIMAL FEED~EGYPT,garch-3-2,1.1186081807714963
skt,ANIMAL FEED~EGYPT,garch-12-2,1.1938691870730582
skt,ANIMAL FEED~FRANCE,garch-1-1,1.8552526754556313
skt,ANIMAL FEED~FRANCE,garch-3-1,1.8528695640460622
skt,ANIMAL FEED~FRANCE,garch-6-1,1.7786785513074903
skt,ANIMAL FEED~FRANCE,garch-12-1,1.751527055852801
skt,ANIMAL FEED~FRANCE,garch-1-2,1.8671107249950352
skt,ANIMAL FEED~FRANCE,garch-6-2,1.8528454487702821
skt,ANIMAL FEED~FRANCE,garch-3-2,1.7786759957754852
skt,ANIMAL FEED~FRANCE,garch-12-2,1.7515005375593762
skt,ANIMAL FEED~GERMANY,garch-1-1,2.120346209529519
skt,ANIMAL FEED~GERMANY,garch-3-1,2.062741666082644
skt,ANIMAL FEED~GERMANY,garch-6-1,2.0462052348941646
skt,ANIMAL FEED~GERMANY,garch-12-1,1.96739661692554
skt,ANIMAL FEED~GERMANY,garch-1-2,2.0634897855719534
skt,ANIMAL FEED~GERMANY,garch-6-2,2.062783332740812
skt,ANIMAL FEED~GERMANY,garch-3-2,2.046444651833177
skt,ANIMAL FEED~GERMANY,garch-12-2,1.9673847743066046
skt,ANIMAL FEED~INDIA,garch-1-1,1.9754023010395079
skt,ANIMAL FEED~INDIA,garch-3-1,1.9961389995188603
skt,ANIMAL FEED~INDIA,garch-6-1,1.8838264885495863
skt,ANIMAL FEED~INDIA,garch-12-1,1.8283624677635884
skt,ANIMAL FEED~INDIA,garch-1-2,1.9840133006981455
skt,ANIMAL FEED~INDIA,garch-6-2,1.996194140840032
skt,ANIMAL FEED~INDIA,garch-3-2,1.883838325396078
skt,ANIMAL FEED~INDIA,garch-12-2,1.8283601328380277
skt,ANIMAL FEED~IRELAND,garch-1-1,1.1613921140311216
skt,ANIMAL FEED~IRELAND,garch-3-1,1.162346061234742
skt,ANIMAL FEED~IRELAND,garch-6-1,1.1542648949981171
skt,ANIMAL FEED~IRELAND,garch-12-1,1.1865864160218205
skt,ANIMAL FEED~IRELAND,garch-1-2,1.1617121908471133
skt,ANIMAL FEED~IRELAND,garch-6-2,1.162345003998746
skt,ANIMAL FEED~IRELAND,garch-3-2,1.1542631645182004
skt,ANIMAL FEED~IRELAND,garch-12-2,1.186607923781137
skt,ANIMAL FEED~ITALY,garch-1-1,1.5024953961405338
skt,ANIMAL FEED~ITALY,garch-3-1,1.4835942081162363
skt,ANIMAL FEED~ITALY,garch-6-1,1.4695485752732014
skt,ANIMAL FEED~ITALY,garch-12-1,1.4288623660629054
skt,ANIMAL FEED~ITALY,garch-1-2,1.4952973748489273
skt,ANIMAL FEED~ITALY,garch-6-2,1.483561131264878
skt,ANIMAL FEED~ITALY,garch-3-2,1.469552497204328
skt,ANIMAL FEED~ITALY,garch-12-2,1.4288734086543038
skt,ANIMAL FEED~MALAYSIA,garch-1-1,1.324662002852351
skt,ANIMAL FEED~MALAYSIA,garch-3-1,1.3119319114753685
skt,ANIMAL FEED~MALAYSIA,garch-6-1,1.2872242390866149
skt,ANIMAL FEED~MALAYSIA,garch-12-1,1.3542405683230578
skt,ANIMAL FEED~MALAYSIA,garch-1-2,1.3244011681326227
skt,ANIMAL FEED~MALAYSIA,garch-6-2,1.3119482910307625
skt,ANIMAL FEED~MALAYSIA,garch-3-2,1.2872391529207172
skt,ANIMAL FEED~MALAYSIA,garch-12-2,1.3542680173876196
skt,ANIMAL FEED~NETHERLANDS,garch-1-1,1.0531898657241343
skt,ANIMAL FEED~NETHERLANDS,garch-3-1,1.0504686170353676
skt,ANIMAL FEED~NETHERLANDS,garch-6-1,1.0511458399973088
skt,ANIMAL FEED~NETHERLANDS,garch-12-1,1.0680280512712754
skt,ANIMAL FEED~NETHERLANDS,garch-1-2,1.0512415488833644
skt,ANIMAL FEED~NETHERLANDS,garch-6-2,1.0488693667695281
skt,ANIMAL FEED~NETHERLANDS,garch-3-2,1.051146489205265
skt,ANIMAL FEED~NETHERLANDS,garch-12-2,1.0761623833887732
skt,ANIMAL FEED~OMAN,garch-1-1,0.9978885050220226
skt,ANIMAL FEED~OMAN,garch-3-1,1.0106022503342713
skt,ANIMAL FEED~OMAN,garch-6-1,1.0134985825421292
skt,ANIMAL FEED~OMAN,garch-12-1,1.0109153409192353
skt,ANIMAL FEED~OMAN,garch-1-2,0.9951526680323771
skt,ANIMAL FEED~OMAN,garch-6-2,1.0105988737824207
skt,ANIMAL FEED~OMAN,garch-3-2,1.0134965815174164
skt,ANIMAL FEED~OMAN,garch-12-2,1.0109115299481528
skt,ANIMAL FEED~PAKISTAN,garch-1-1,1.0407215656436248
skt,ANIMAL FEED~PAKISTAN,garch-3-1,1.0411249093311703
skt,ANIMAL FEED~PAKISTAN,garch-6-1,1.0420098944560496
skt,ANIMAL FEED~PAKISTAN,garch-12-1,1.0522307270095235
skt,ANIMAL FEED~PAKISTAN,garch-1-2,1.0407238694756364
skt,ANIMAL FEED~PAKISTAN,garch-6-2,1.0411252072112664
skt,ANIMAL FEED~PAKISTAN,garch-3-2,1.0420101614621602
skt,ANIMAL FEED~PAKISTAN,garch-12-2,1.052231775296354
skt,ANIMAL FEED~SOUTH AFRICA,garch-1-1,1.2391936847815679
skt,ANIMAL FEED~SOUTH AFRICA,garch-3-1,1.2380788443024084
skt,ANIMAL FEED~SOUTH AFRICA,garch-6-1,1.2243495420543222
skt,ANIMAL FEED~SOUTH AFRICA,garch-12-1,1.2286402182213307
skt,ANIMAL FEED~SOUTH AFRICA,garch-1-2,1.2394260739337013
skt,ANIMAL FEED~SOUTH AFRICA,garch-6-2,1.238069284045478
skt,ANIMAL FEED~SOUTH AFRICA,garch-3-2,1.2243144505084602
skt,ANIMAL FEED~SOUTH AFRICA,garch-12-2,1.2286375846632835
skt,ANIMAL FEED~SPAIN,garch-1-1,1.1015950422286642
skt,ANIMAL FEED~SPAIN,garch-3-1,1.1108068433660119
skt,ANIMAL FEED~SPAIN,garch-6-1,1.1079084352979245
skt,ANIMAL FEED~SPAIN,garch-12-1,1.0657858944458585
skt,ANIMAL FEED~SPAIN,garch-1-2,1.1132324984792163
skt,ANIMAL FEED~SPAIN,garch-6-2,1.1108086324049429
skt,ANIMAL FEED~SPAIN,garch-3-2,1.1079212125680995
skt,ANIMAL FEED~SPAIN,garch-12-2,1.0657858767942114
skt,ANIMAL FEED~SUDAN,garch-1-1,4.4391589194404055
skt,ANIMAL FEED~SUDAN,garch-3-1,4.771257688460168
skt,ANIMAL FEED~SUDAN,garch-6-1,4.607339263251619
skt,ANIMAL FEED~SUDAN,garch-12-1,4.624325969394151
skt,ANIMAL FEED~SUDAN,garch-1-2,4.779219680867082
skt,ANIMAL FEED~SUDAN,garch-6-2,4.771340231884971
skt,ANIMAL FEED~SUDAN,garch-3-2,4.729998759071517
skt,ANIMAL FEED~SUDAN,garch-12-2,4.624427822428787
skt,ANIMAL FEED~UNITED KINGDOM,garch-1-1,2.2431206779843818
skt,ANIMAL FEED~UNITED KINGDOM,garch-3-1,2.249211076376608
skt,ANIMAL FEED~UNITED KINGDOM,garch-6-1,2.2338694320237193
skt,ANIMAL FEED~UNITED KINGDOM,garch-12-1,1.8884158787183536
skt,ANIMAL FEED~UNITED KINGDOM,garch-1-2,2.24616471212377
skt,ANIMAL FEED~UNITED KINGDOM,garch-6-2,2.2491999575985786
skt,ANIMAL FEED~UNITED KINGDOM,garch-3-2,2.233825815210225
skt,ANIMAL FEED~UNITED KINGDOM,garch-12-2,1.88839110746798
skt,ANIMAL FEED~UNITED STATES,garch-1-1,4.230366925260598
skt,ANIMAL FEED~UNITED STATES,garch-3-1,4.094027483034485
skt,ANIMAL FEED~UNITED STATES,garch-6-1,4.046427279350989
skt,ANIMAL FEED~UNITED STATES,garch-12-1,3.6180920159780454
skt,ANIMAL FEED~UNITED STATES,garch-1-2,4.242889070587981
skt,ANIMAL FEED~UNITED STATES,garch-6-2,4.094024485125743
skt,ANIMAL FEED~UNITED STATES,garch-3-2,4.0464268737010665
skt,ANIMAL FEED~UNITED STATES,garch-12-2,3.2225349679713964
skt,APPLE~CHINA,garch-1-1,1.7780859625611318
skt,APPLE~CHINA,garch-3-1,1.7671099777670707
skt,APPLE~CHINA,garch-6-1,1.7546404010557621
skt,APPLE~CHINA,garch-12-1,1.6970829670241
skt,APPLE~CHINA,garch-1-2,1.770865925812607
skt,APPLE~CHINA,garch-6-2,1.7670616569890623
skt,APPLE~CHINA,garch-3-2,1.7546426680127822
skt,APPLE~CHINA,garch-12-2,1.697055438634372
skt,APPLE~FRANCE,garch-1-1,2.551073429004297
skt,APPLE~FRANCE,garch-3-1,2.3665594606612563
skt,APPLE~FRANCE,garch-6-1,1.8604479045194409
skt,APPLE~FRANCE,garch-12-1,1.7244515524598132
skt,APPLE~FRANCE,garch-1-2,2.451624798066867
skt,APPLE~FRANCE,garch-6-2,2.3666416932181487
skt,APPLE~FRANCE,garch-3-2,1.9484773829288207
skt,APPLE~FRANCE,garch-12-2,1.724414467739896
skt,APPLE~ITALY,garch-1-1,2.045760961204332
skt,APPLE~ITALY,garch-3-1,2.017038276482158
skt,APPLE~ITALY,garch-6-1,1.9717875823343625
skt,APPLE~ITALY,garch-12-1,1.9849901688784208
skt,APPLE~ITALY,garch-1-2,2.0426306925499746
skt,APPLE~ITALY,garch-6-2,2.0170792727477562
skt,APPLE~ITALY,garch-3-2,1.9717774304668736
skt,APPLE~ITALY,garch-12-2,1.98513814661652
skt,APPLE~THAILAND,garch-1-1,5.869588406778466
skt,APPLE~THAILAND,garch-3-1,5.943104709842967
skt,APPLE~THAILAND,garch-6-1,5.81111205714073
skt,APPLE~THAILAND,garch-12-1,5.325771674344423
skt,APPLE~THAILAND,garch-1-2,5.896267106321902
skt,APPLE~THAILAND,garch-6-2,5.942773879576203
skt,APPLE~THAILAND,garch-3-2,5.811196123687994
skt,APPLE~THAILAND,garch-12-2,5.270463753551385
skt,APPLE~UNITED KINGDOM,garch-1-1,1.7978793275561709
skt,APPLE~UNITED KINGDOM,garch-3-1,1.7990723334130048
skt,APPLE~UNITED KINGDOM,garch-6-1,1.8015157620319104
skt,APPLE~UNITED KINGDOM,garch-12-1,1.9185619088856714
skt,APPLE~UNITED KINGDOM,garch-1-2,1.7983939090948484
skt,APPLE~UNITED KINGDOM,garch-6-2,1.7990439900518895
skt,APPLE~UNITED KINGDOM,garch-3-2,1.8016007423377232
skt,APPLE~UNITED KINGDOM,garch-12-2,1.9181529325989735
skt,APPLE~UNITED STATES,garch-1-1,6.878622148087976
skt,APPLE~UNITED STATES,garch-3-1,6.487880059004523
skt,APPLE~UNITED STATES,garch-6-1,6.181128244892266
skt,APPLE~UNITED STATES,garch-12-1,6.834759843425536
skt,APPLE~UNITED STATES,garch-1-2,6.840777772317152
skt,APPLE~UNITED STATES,garch-6-2,6.488071179318149
skt,APPLE~UNITED STATES,garch-3-2,6.181113248347859
skt,APPLE~UNITED STATES,garch-12-2,6.98032611740429
skt,BANANA~ECUADOR,garch-1-1,1.0490272755851555
skt,BANANA~ECUADOR,garch-3-1,1.044705911518207
skt,BANANA~ECUADOR,garch-6-1,1.0525107986784485
skt,BANANA~ECUADOR,garch-12-1,1.0544392736449315
skt,BANANA~ECUADOR,garch-1-2,1.047287262549834
skt,BANANA~ECUADOR,garch-6-2,1.044705832246853
skt,BANANA~ECUADOR,garch-3-2,1.0525082154374745
skt,BANANA~ECUADOR,garch-12-2,1.0544434504649476
skt,BANANA~INDIA,garch-1-1,1.0561066051309924
skt,BANANA~INDIA,garch-3-1,1.0548782013322493
skt,BANANA~INDIA,garch-6-1,1.0652970869484446
skt,BANANA~INDIA,garch-12-1,1.104039247883158
skt,BANANA~INDIA,garch-1-2,1.0573055260474897
skt,BANANA~INDIA,garch-6-2,1.0623326210261321
skt,BANANA~INDIA,garch-3-2,1.0690366829110332
skt,BANANA~INDIA,garch-12-2,1.098572951958479
skt,BANANA~OMAN,garch-1-1,1.6856853348963736
skt,BANANA~OMAN,garch-3-1,1.6773333700696167
skt,BANANA~OMAN,garch-6-1,1.6648113683765764
skt,BANANA~OMAN,garch-12-1,1.667239340508753
skt,BANANA~OMAN,garch-1-2,1.6931178058470893
skt,BANANA~OMAN,garch-6-2,1.6773396896708193
skt,BANANA~OMAN,garch-3-2,1.664239823767382
skt,BANANA~OMAN,garch-12-2,1.6672375982309267
skt,BANANA~PHILIPPINES,garch-1-1,4.575272934016009
skt,BANANA~PHILIPPINES,garch-3-1,4.537275699665646
skt,BANANA~PHILIPPINES,garch-6-1,4.490052188091306
skt,BANANA~PHILIPPINES,garch-12-1,4.421947220929927
skt,BANANA~PHILIPPINES,garch-1-2,4.601450526633972
skt,BANANA~PHILIPPINES,garch-6-2,4.537274394735281
skt,BANANA~PHILIPPINES,garch-3-2,4.492893949960647
skt,BANANA~PHILIPPINES,garch-12-2,4.422299938468376
skt,BANANA~SRI LANKA,garch-1-1,1.5483475610877846
skt,BANANA~SRI LANKA,garch-3-1,1.4809526131315784
skt,BANANA~SRI LANKA,garch-6-1,1.4770026839540737
skt,BANANA~SRI LANKA,garch-12-1,1.4641711857811213
skt,BANANA~SRI LANKA,garch-1-2,1.5649231635806764
skt,BANANA~SRI LANKA,garch-6-2,1.4809195932671413
skt,BANANA~SRI LANKA,garch-3-2,1.4770027706244773
skt,BANANA~SRI LANKA,garch-12-2,1.4642201488736133
skt,BANANA~THAILAND,garch-1-1,1.440404694265337
skt,BANANA~THAILAND,garch-3-1,1.4430189996811313
skt,BANANA~THAILAND,garch-6-1,1.4622643728156237
skt,BANANA~THAILAND,garch-12-1,1.4838248410333672
skt,BANANA~THAILAND,garch-1-2,1.4416915183018093
skt,BANANA~THAILAND,garch-6-2,1.4431647392601183
skt,BANANA~THAILAND,garch-3-2,1.4622724524690962
skt,BANANA~THAILAND,garch-12-2,1.483859257015951
skt,BANANA~UGANDA,garch-1-1,1.5353197567868517
skt,BANANA~UGANDA,garch-3-1,1.5564346810145326
skt,BANANA~UGANDA,garch-6-1,2.3846256443184095
skt,BANANA~UGANDA,garch-12-1,2.652809019834839
skt,BANANA~UGANDA,garch-1-2,1.5455864938624353
skt,BANANA~UGANDA,garch-6-2,2.447776517151857
skt,BANANA~UGANDA,garch-3-2,2.38386868103789
skt,BANANA~UGANDA,garch-12-2,2.6529778131283086
skt,BEANS~INDIA,garch-1-1,2.4462773825783715
skt,BEANS~INDIA,garch-3-1,2.4331237154346312
skt,BEANS~INDIA,garch-6-1,2.4155691641520027
skt,BEANS~INDIA,garch-12-1,2.3653520914978965
skt,BEANS~INDIA,garch-1-2,2.439903975058202
skt,BEANS~INDIA,garch-6-2,2.433222156034535
skt,BEANS~INDIA,garch-3-2,2.415741084729118
skt,BEANS~INDIA,garch-12-2,2.3654745643514645
skt,BEANS~KENYA,garch-1-1,11.355302529103106
skt,BEANS~KENYA,garch-3-1,11.507565701605785
skt,BEANS~KENYA,garch-6-1,10.574894626490927
skt,BEANS~KENYA,garch-12-1,3.2966750214588405
skt,BEANS~KENYA,garch-1-2,11.483263990846327
skt,BEANS~KENYA,garch-6-2,11.50757942245735
skt,BEANS~KENYA,garch-3-2,10.643991743700221
skt,BEANS~KENYA,garch-12-2,3.2964437234393777
skt,BEANS~LEBANON,garch-1-1,1.029081144145896
skt,BEANS~LEBANON,garch-3-1,1.0278682588287589
skt,BEANS~LEBANON,garch-6-1,1.032557288572206
skt,BEANS~LEBANON,garch-12-1,1.032563274226071
skt,BEANS~LEBANON,garch-1-2,1.0284859518735219
skt,BEANS~LEBANON,garch-6-2,1.0278639988993543
skt,BEANS~LEBANON,garch-3-2,1.0325547350300497
skt,BEANS~LEBANON,garch-12-2,1.0325559294057924
skt,BEANS~PAKISTAN,garch-1-1,1.8652681800065727
